recall_number,product_description,product_code,recall_class,reason_for_recall,recalling_firm,status,product_quantity,recall_initiation_date,state,country,source,api_endpoint,last_updated
Z-1666-2020,Radiology Device - Scanner,DZE--,Class I,Battery Failure,Johnson & Johnson,Ongoing,128 units,20250711,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5648-2022,General Hospital Device - Monitor,DZE--,Class I,Sterility Concern,Baxter,Completed,6760 units,20200101,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1616-2023,Orthopedic Device - Scanner,IZL--,Class III,Sterility Concern,Siemens Healthineers,Completed,84 units,20201215,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2925-2023,Radiology Device - Pump,DZE--,Class II,Quality Control,Stryker,Ongoing,3183 units,20210225,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8772-2022,Orthopedic Device - Monitor,IZL--,Class I,Design Flaw,Stryker,Ongoing,7131 units,20200903,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8424-2019,Radiology Device - Catheter,DZE--,Class I,Device Malfunction,GE Healthcare,Ongoing,1170 units,20221001,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6340-2022,Neurological Device - Pump,DZE--,Class I,Design Flaw,Boston Scientific,Ongoing,3894 units,20231227,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7152-2020,Radiology Device - Scanner,LNX--,Class I,Material Defect,Abbott,Ongoing,9994 units,20210330,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7346-2021,Orthopedic Device - Scanner,DZE--,Class III,Design Flaw,Stryker,Ongoing,5513 units,20201230,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1977-2021,Orthopedic Device - Catheter,LNX--,Class II,Material Defect,Abbott,Completed,3612 units,20190512,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3568-2024,Implantable Device - Monitor,DZE--,Class I,Material Defect,Baxter,Completed,3556 units,20251008,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5573-2019,Ophthalmic Device - Monitor,DZE--,Class II,Material Defect,Becton Dickinson,Ongoing,9705 units,20240310,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1083-2022,Cardiovascular Device - Catheter,LNX--,Class III,Device Malfunction,Philips Healthcare,Completed,7862 units,20250607,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9114-2020,Radiology Device - Catheter,LNX--,Class I,Labeling Error,Siemens Healthineers,Completed,3926 units,20240128,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8860-2024,Surgical Device - Monitor,LNX--,Class III,Device Malfunction,GE Healthcare,Completed,2281 units,20190307,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7068-2024,General Hospital Device - Catheter,IZL--,Class II,Design Flaw,Baxter,Ongoing,4869 units,20210127,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9887-2023,Neurological Device - Catheter,KFM--,Class III,Device Malfunction,Baxter,Completed,854 units,20220110,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6989-2022,Implantable Device - Catheter,KFM--,Class II,Labeling Error,Baxter,Ongoing,9197 units,20230418,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6487-2020,IVD Device - Catheter,LNX--,Class III,Quality Control,Boston Scientific,Completed,5788 units,20200720,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7929-2021,Cardiovascular Device - Catheter,KFM--,Class II,Battery Failure,GE Healthcare,Ongoing,7713 units,20240824,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7031-2024,Radiology Device - Monitor,LNX--,Class I,Software Issue,Philips Healthcare,Ongoing,4734 units,20240126,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3699-2021,Radiology Device - Monitor,LNX--,Class I,Quality Control,Baxter,Ongoing,4813 units,20200323,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3163-2022,Dental Device - Scanner,LNX--,Class III,Device Malfunction,Stryker,Ongoing,1041 units,20250126,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9513-2024,Dental Device - Scanner,KFM--,Class III,Design Flaw,GE Healthcare,Completed,7513 units,20210809,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3161-2021,Orthopedic Device - Pump,DZE--,Class II,Design Flaw,Stryker,Ongoing,2440 units,20250512,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8469-2020,Implantable Device - Monitor,KFM--,Class I,Labeling Error,Abbott,Ongoing,3907 units,20220310,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6187-2023,Orthopedic Device - Scanner,KFM--,Class II,Labeling Error,Boston Scientific,Ongoing,5202 units,20190618,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7109-2022,IVD Device - Monitor,KFM--,Class I,Device Malfunction,Philips Healthcare,Completed,2391 units,20200828,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3556-2019,IVD Device - Pump,KFM--,Class II,Sterility Concern,Becton Dickinson,Ongoing,9270 units,20220804,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2840-2024,General Hospital Device - Catheter,DZE--,Class III,Software Issue,Stryker,Ongoing,6590 units,20221019,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6855-2019,Dental Device - Catheter,DZE--,Class III,Quality Control,Stryker,Ongoing,379 units,20240101,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8298-2024,Radiology Device - Scanner,DZE--,Class II,Design Flaw,Becton Dickinson,Ongoing,5925 units,20250114,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8006-2021,Ophthalmic Device - Pump,IZL--,Class II,Design Flaw,Siemens Healthineers,Completed,7310 units,20200828,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8278-2024,Ophthalmic Device - Scanner,KFM--,Class I,Material Defect,Philips Healthcare,Ongoing,9630 units,20210602,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4404-2021,General Hospital Device - Pump,IZL--,Class III,Material Defect,Johnson & Johnson,Ongoing,6718 units,20200811,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3865-2023,General Hospital Device - Monitor,DZE--,Class I,Material Defect,Stryker,Completed,701 units,20230825,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5979-2022,IVD Device - Scanner,DZE--,Class I,Device Malfunction,Abbott,Completed,4927 units,20250725,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5713-2022,Orthopedic Device - Scanner,DZE--,Class I,Software Issue,Stryker,Completed,1103 units,20200523,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8872-2023,Ophthalmic Device - Pump,LNX--,Class III,Software Issue,Siemens Healthineers,Ongoing,4262 units,20250708,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1958-2020,Dental Device - Scanner,DZE--,Class II,Labeling Error,Medtronic,Completed,5927 units,20250710,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6832-2019,Surgical Device - Pump,IZL--,Class III,Quality Control,Abbott,Ongoing,9820 units,20260219,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6285-2021,Surgical Device - Pump,KFM--,Class I,Design Flaw,Abbott,Ongoing,2253 units,20250205,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8944-2022,Dental Device - Monitor,IZL--,Class I,Labeling Error,Baxter,Ongoing,3097 units,20230308,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8544-2019,Radiology Device - Monitor,IZL--,Class II,Design Flaw,Stryker,Completed,2287 units,20230906,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9570-2021,Orthopedic Device - Pump,IZL--,Class III,Software Issue,Boston Scientific,Ongoing,2342 units,20250913,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3053-2020,Orthopedic Device - Catheter,LNX--,Class III,Software Issue,Johnson & Johnson,Ongoing,7944 units,20220613,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4217-2019,Cardiovascular Device - Catheter,LNX--,Class I,Sterility Concern,Medtronic,Ongoing,4952 units,20190624,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3028-2023,Neurological Device - Monitor,DZE--,Class III,Design Flaw,Medtronic,Ongoing,2394 units,20200131,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6698-2021,Orthopedic Device - Monitor,IZL--,Class I,Device Malfunction,Baxter,Ongoing,3148 units,20250702,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9800-2019,Radiology Device - Monitor,LNX--,Class II,Labeling Error,GE Healthcare,Ongoing,2973 units,20201204,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7948-2020,IVD Device - Monitor,LNX--,Class I,Design Flaw,Johnson & Johnson,Completed,1817 units,20230404,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6918-2024,Surgical Device - Catheter,IZL--,Class II,Battery Failure,Johnson & Johnson,Completed,4656 units,20240723,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6111-2024,General Hospital Device - Monitor,LNX--,Class II,Material Defect,Boston Scientific,Ongoing,7803 units,20250925,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1209-2024,General Hospital Device - Catheter,LNX--,Class II,Software Issue,Johnson & Johnson,Ongoing,6478 units,20210104,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2666-2024,Orthopedic Device - Catheter,KFM--,Class I,Design Flaw,Boston Scientific,Completed,2021 units,20250815,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9177-2021,Implantable Device - Pump,LNX--,Class II,Battery Failure,Becton Dickinson,Completed,7948 units,20231006,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8448-2019,Radiology Device - Pump,LNX--,Class II,Quality Control,Abbott,Ongoing,1641 units,20200826,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9161-2024,Cardiovascular Device - Monitor,LNX--,Class III,Design Flaw,Abbott,Completed,1588 units,20191007,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9064-2022,Neurological Device - Pump,LNX--,Class II,Sterility Concern,Baxter,Completed,8866 units,20241030,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8051-2019,Ophthalmic Device - Scanner,KFM--,Class II,Battery Failure,GE Healthcare,Ongoing,548 units,20190510,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5965-2024,Orthopedic Device - Scanner,LNX--,Class I,Sterility Concern,Philips Healthcare,Completed,1802 units,20250330,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9837-2023,General Hospital Device - Scanner,DZE--,Class III,Device Malfunction,Philips Healthcare,Completed,8115 units,20250318,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6779-2021,Dental Device - Catheter,IZL--,Class III,Device Malfunction,Abbott,Completed,5725 units,20251201,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6591-2022,Radiology Device - Scanner,KFM--,Class II,Material Defect,Siemens Healthineers,Ongoing,4011 units,20260104,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6113-2023,Radiology Device - Catheter,KFM--,Class I,Design Flaw,Abbott,Ongoing,8831 units,20210819,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8551-2024,Ophthalmic Device - Scanner,KFM--,Class I,Battery Failure,Becton Dickinson,Ongoing,5195 units,20190603,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7394-2021,Implantable Device - Catheter,LNX--,Class I,Quality Control,Siemens Healthineers,Completed,8247 units,20250525,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5907-2021,Ophthalmic Device - Monitor,LNX--,Class III,Software Issue,Baxter,Ongoing,4718 units,20201113,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5871-2023,Ophthalmic Device - Monitor,IZL--,Class III,Software Issue,Becton Dickinson,Completed,4488 units,20190714,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9700-2022,Ophthalmic Device - Monitor,KFM--,Class I,Sterility Concern,Baxter,Completed,7102 units,20250509,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7788-2022,Surgical Device - Scanner,DZE--,Class I,Labeling Error,Becton Dickinson,Completed,3499 units,20210330,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9728-2023,Ophthalmic Device - Catheter,DZE--,Class II,Battery Failure,Abbott,Ongoing,2475 units,20220102,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7721-2021,Radiology Device - Monitor,LNX--,Class II,Sterility Concern,Abbott,Completed,9860 units,20231119,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4907-2019,Orthopedic Device - Monitor,IZL--,Class I,Sterility Concern,GE Healthcare,Completed,9182 units,20230721,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1606-2020,Orthopedic Device - Pump,DZE--,Class I,Sterility Concern,Stryker,Ongoing,701 units,20230925,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1906-2019,Dental Device - Pump,IZL--,Class II,Design Flaw,Johnson & Johnson,Completed,2312 units,20190323,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9196-2019,IVD Device - Pump,LNX--,Class I,Quality Control,Becton Dickinson,Ongoing,5144 units,20200403,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7388-2024,Neurological Device - Scanner,DZE--,Class I,Software Issue,Abbott,Ongoing,4508 units,20250721,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5166-2023,Cardiovascular Device - Scanner,KFM--,Class III,Software Issue,Siemens Healthineers,Completed,7790 units,20230731,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3374-2021,General Hospital Device - Pump,KFM--,Class I,Device Malfunction,Medtronic,Ongoing,4154 units,20220211,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6945-2024,Radiology Device - Monitor,LNX--,Class II,Device Malfunction,Philips Healthcare,Completed,4939 units,20220620,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5872-2020,Orthopedic Device - Scanner,KFM--,Class III,Material Defect,Medtronic,Completed,1322 units,20210822,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7765-2021,Ophthalmic Device - Catheter,DZE--,Class III,Sterility Concern,Baxter,Ongoing,5774 units,20240413,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9973-2024,Dental Device - Scanner,IZL--,Class I,Labeling Error,GE Healthcare,Ongoing,60 units,20251002,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6006-2021,Implantable Device - Catheter,IZL--,Class I,Quality Control,Baxter,Ongoing,9742 units,20210330,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8397-2022,Orthopedic Device - Pump,DZE--,Class III,Design Flaw,Stryker,Ongoing,1392 units,20220801,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3980-2022,Ophthalmic Device - Monitor,IZL--,Class I,Quality Control,Johnson & Johnson,Completed,3258 units,20230214,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1815-2022,Implantable Device - Scanner,KFM--,Class I,Software Issue,Siemens Healthineers,Ongoing,9303 units,20201122,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9615-2022,General Hospital Device - Scanner,IZL--,Class I,Quality Control,Boston Scientific,Completed,4727 units,20190227,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3133-2022,Neurological Device - Monitor,KFM--,Class III,Quality Control,Philips Healthcare,Ongoing,6703 units,20230414,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5754-2021,Neurological Device - Scanner,DZE--,Class II,Battery Failure,Johnson & Johnson,Ongoing,7692 units,20190428,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7513-2024,Neurological Device - Scanner,LNX--,Class III,Sterility Concern,Johnson & Johnson,Ongoing,9135 units,20220817,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6453-2020,General Hospital Device - Pump,IZL--,Class I,Sterility Concern,Baxter,Completed,4966 units,20190802,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3166-2023,Cardiovascular Device - Monitor,KFM--,Class I,Battery Failure,Siemens Healthineers,Completed,2171 units,20230228,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9690-2022,Orthopedic Device - Pump,IZL--,Class II,Device Malfunction,Abbott,Completed,4613 units,20220723,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5635-2021,Implantable Device - Pump,KFM--,Class II,Labeling Error,Siemens Healthineers,Completed,2488 units,20231028,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4095-2020,Cardiovascular Device - Monitor,DZE--,Class I,Battery Failure,Stryker,Ongoing,7663 units,20190806,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9108-2019,General Hospital Device - Pump,LNX--,Class II,Battery Failure,Johnson & Johnson,Ongoing,2035 units,20200420,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4337-2021,Orthopedic Device - Monitor,KFM--,Class III,Quality Control,Becton Dickinson,Ongoing,8628 units,20200119,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2258-2020,General Hospital Device - Catheter,KFM--,Class I,Sterility Concern,Johnson & Johnson,Completed,6130 units,20230902,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3519-2019,Radiology Device - Scanner,LNX--,Class II,Sterility Concern,Becton Dickinson,Ongoing,5407 units,20220818,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8423-2021,Implantable Device - Monitor,DZE--,Class I,Sterility Concern,Siemens Healthineers,Ongoing,1168 units,20260511,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7534-2021,Orthopedic Device - Monitor,LNX--,Class I,Device Malfunction,Boston Scientific,Ongoing,6375 units,20200115,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3525-2019,Surgical Device - Scanner,LNX--,Class III,Sterility Concern,Becton Dickinson,Ongoing,5892 units,20220313,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9399-2020,General Hospital Device - Scanner,LNX--,Class II,Sterility Concern,Becton Dickinson,Completed,1488 units,20230214,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4053-2022,Ophthalmic Device - Catheter,IZL--,Class III,Design Flaw,GE Healthcare,Ongoing,2550 units,20230217,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9596-2019,Surgical Device - Scanner,LNX--,Class I,Battery Failure,Stryker,Ongoing,2103 units,20241129,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9570-2022,Surgical Device - Catheter,IZL--,Class I,Software Issue,Baxter,Completed,6776 units,20211015,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5151-2021,Surgical Device - Catheter,IZL--,Class I,Battery Failure,Abbott,Ongoing,6448 units,20240318,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7819-2024,Surgical Device - Pump,LNX--,Class III,Battery Failure,Becton Dickinson,Completed,5602 units,20191208,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4032-2019,Implantable Device - Pump,IZL--,Class II,Device Malfunction,Medtronic,Completed,1921 units,20210514,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8817-2022,Ophthalmic Device - Scanner,KFM--,Class III,Design Flaw,Philips Healthcare,Completed,1445 units,20201204,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1227-2020,Radiology Device - Catheter,DZE--,Class I,Quality Control,GE Healthcare,Ongoing,3971 units,20200707,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9824-2020,Radiology Device - Pump,LNX--,Class I,Battery Failure,Philips Healthcare,Ongoing,1918 units,20260108,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8295-2022,General Hospital Device - Catheter,LNX--,Class III,Quality Control,Boston Scientific,Completed,9339 units,20200916,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6469-2019,Radiology Device - Scanner,LNX--,Class II,Sterility Concern,Medtronic,Completed,6558 units,20190728,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8993-2020,Cardiovascular Device - Catheter,LNX--,Class III,Design Flaw,Baxter,Ongoing,4398 units,20241003,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2915-2022,Implantable Device - Pump,LNX--,Class III,Material Defect,Medtronic,Ongoing,4728 units,20240422,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6633-2022,Neurological Device - Monitor,KFM--,Class III,Battery Failure,Abbott,Completed,6405 units,20240406,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6902-2022,Orthopedic Device - Monitor,KFM--,Class III,Software Issue,GE Healthcare,Ongoing,2849 units,20260426,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9063-2019,Ophthalmic Device - Scanner,KFM--,Class I,Quality Control,Baxter,Ongoing,307 units,20201002,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6849-2024,Orthopedic Device - Monitor,IZL--,Class I,Design Flaw,Philips Healthcare,Ongoing,3724 units,20211204,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4671-2022,Surgical Device - Pump,KFM--,Class I,Sterility Concern,Abbott,Ongoing,836 units,20250420,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2817-2019,Implantable Device - Catheter,IZL--,Class III,Software Issue,Abbott,Ongoing,3375 units,20240216,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5786-2024,General Hospital Device - Scanner,IZL--,Class I,Design Flaw,Siemens Healthineers,Ongoing,2024 units,20201005,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7811-2019,Neurological Device - Scanner,KFM--,Class II,Labeling Error,Johnson & Johnson,Completed,6111 units,20231204,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5021-2020,IVD Device - Scanner,DZE--,Class I,Material Defect,Philips Healthcare,Completed,7526 units,20230117,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8251-2020,Cardiovascular Device - Catheter,IZL--,Class II,Design Flaw,Philips Healthcare,Ongoing,7121 units,20190502,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1607-2024,Orthopedic Device - Catheter,KFM--,Class II,Material Defect,Baxter,Completed,5149 units,20230530,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5583-2023,Implantable Device - Monitor,LNX--,Class II,Quality Control,Baxter,Completed,5666 units,20190202,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
